Tweet ID,Tweet URL,Time Posted,User,Question,Text,Text without share link,Categories,categories,Label
'1119721571986366469,https://twitter.com/PassItOnUntil/status/1119721571986366469,Sat Apr 20 21:56:40 +0000 2019,PassItOnUntil,what happens when the trick goes wrong?,What happens when the trick goes wrong? Read the revelations of a male magician with #breastcancer… https://t.co/aHgQOI91Gf,,,,0
'1118351350046298113,https://twitter.com/PassItOnUntil/status/1118351350046298113,Wed Apr 17 03:11:54 +0000 2019,PassItOnUntil,are you having trouble talking to your children about having #breastcancer?,Are you having trouble talking to your children about having #breastcancer? Here are 7 helpful tips from survivor a… https://t.co/QfEm9f87bC,,,,0
'1108757973290180608,https://twitter.com/PassItOnUntil/status/1108757973290180608,Thu Mar 21 15:51:15 +0000 2019,PassItOnUntil,are you on instagram?,Are you on Instagram? Follow @UntilEveryWomanKnows to see more facts and faces of personalized #breastcancer treatm… https://t.co/H7ygYUJchX,,,,0
'1108560673825570821,https://twitter.com/PassItOnUntil/status/1108560673825570821,Thu Mar 21 02:47:15 +0000 2019,PassItOnUntil,does everyone with early-stage #breastcancer need chemotherapy?,Does everyone with early-stage #breastcancer need chemotherapy? Not necessarily. Join Susan G. Komen San Diego this… https://t.co/OybPz6ZA3B,,,,0
'1103354861930889216,https://twitter.com/PassItOnUntil/status/1103354861930889216,Wed Mar 06 18:01:13 +0000 2019,PassItOnUntil,do you have early-stage #breastcancer?,Do you have early-stage #breastcancer? Find out if chemotherapy will be beneficial for you with the Oncotype DX tes… https://t.co/5peDRBnp9A,,,,0
'1087769070907392000,https://twitter.com/PassItOnUntil/status/1087769070907392000,Tue Jan 22 17:48:50 +0000 2019,PassItOnUntil,what can you really do to help if your loved one or friend is diagnosed?,#Breastcancer is scary. What can you really do to help if your loved one or friend is diagnosed?  Our friends over… https://t.co/7BlCZzx7xl,,,,0
'1085602157221629952,https://twitter.com/PassItOnUntil/status/1085602157221629952,Wed Jan 16 18:18:18 +0000 2019,PassItOnUntil,do you have a friend diagnosed with #breastcancer but don't know how to help?,Do you have a friend diagnosed with #breastcancer but don't know how to help? Try these tips from @Health… https://t.co/symGTNQh8g,,,,0
'1069939658409291777,https://twitter.com/PassItOnUntil/status/1069939658409291777,Tue Dec 04 13:01:07 +0000 2018,PassItOnUntil,need some guidance while you're going through #breastcancer treatment?,"Need some guidance while you're going through #breastcancer treatment? My Breast Cancer Coach, an award-winning and… https://t.co/eXlN2Qzieo",,,,0
'994951680570613761,https://twitter.com/PassItOnUntil/status/994951680570613761,Fri May 11 14:45:40 +0000 2018,PassItOnUntil,did you know that men can get #breastcancer too?,Did you know that men can get #breastcancer too? Less than 1 percent of all breast cancers occur in males means tha… https://t.co/H8YO98myzf,,,,0
'976835655127977984,https://twitter.com/PassItOnUntil/status/976835655127977984,Thu Mar 22 14:59:03 +0000 2018,PassItOnUntil,did you know that chemotherapy only benefits 4 out of 100 #breastcancer patients*?,"Did you know that chemotherapy only benefits 4 out of 100 #breastcancer patients*? Genomic testing, like #Oncotype… https://t.co/FzBophGPsY",,,,0
'964530071599009793,https://twitter.com/PassItOnUntil/status/964530071599009793,Fri Feb 16 16:01:03 +0000 2018,PassItOnUntil,do you have a loved one about to have surgery for #breastcancer?,Do you have a loved one about to have surgery for #breastcancer? Consider putting together a care kit to help... https://t.co/gvzIOUN5OT,,,,0
'961272214397116416,https://twitter.com/PassItOnUntil/status/961272214397116416,Wed Feb 07 16:15:30 +0000 2018,PassItOnUntil,how do you tell your children that you have #breastcancer?,"How do you tell your children that you have #breastcancer? That is the question Linda Crider faced as a young,... https://t.co/5VUNdeDmjq",,,,0
'936735705497329664,https://twitter.com/PassItOnUntil/status/936735705497329664,Fri Dec 01 23:16:10 +0000 2017,PassItOnUntil,how did you do on this #factfriday true or false quiz?,"How did you do on this #FactFriday true or false quiz? It’s TRUE, you can get #breastcancer even if it doesn’t... https://t.co/WVh8CfohmY",,,,0
'931552833077465088,https://twitter.com/PassItOnUntil/status/931552833077465088,Fri Nov 17 16:01:17 +0000 2017,PassItOnUntil,"the doctor says you are now #breastcancer-free, so what happens next?","The doctor says you are now #breastcancer-free, so what happens next? It’s still important to be vigilant... https://t.co/pZ5dcvRnIH",,,,0
'925380817664204801,https://twitter.com/PassItOnUntil/status/925380817664204801,Tue Oct 31 15:15:54 +0000 2017,PassItOnUntil,did you know that dcis #breastcancer affects one out of every five women diagnosed with breast cancer?,Did you know that DCIS #breastcancer affects one out of every five women diagnosed with breast cancer? Learn more... https://t.co/XvRQEcTRJy,,,,0
'920665796283580418,https://twitter.com/PassItOnUntil/status/920665796283580418,Wed Oct 18 15:00:05 +0000 2017,PassItOnUntil,"did you know that dcis #breastcancer affect about 50,000 women in the united states each year?","Did you know that DCIS #breastcancer affect about 50,000 women in the United States each year? Educate yourself... https://t.co/ykVBvUkHwC",,,,0
